NUM_POSTE;NOM_USUEL;COMMUNE;LIEU_DIT;DATOUVR;DATFERM;LAT;LON;LAMBX;LAMBY;ALTI;TYPE_POSTE_ACTUEL
3005002;ARCHIGNAT-SPC;ARCHIGNAT;SPC-223-LE SIGNAL-DE-L-AGE;2017-12-01;;46.332500;2.385833;6037;21480;557;5
3022002;BELLENAVES-SPC;BELLENAVES;SPC-222-Bellenaves;2004-08-01;;46.200167;3.085333;6577;21336;338;5
3092002;CRESSANGES-SPC;CRESSANGES;SPC-223-CRESSANGES;2017-12-01;;46.446833;3.145000;6621;21611;473;5
3127005;HERISSON-SPC;HERISSON;SPC-222-Hérisson;2004-08-01;;46.507667;2.712167;6288;21676;203;5
3165005;LE-MAYET-DE-MONTAGNE-SPC;LE MAYET-DE-MONTAGNE;SPC-222-Le Mayet-de-Montagne;2004-08-01;;46.072833;3.661667;7025;21200;540;5
3185008;MONTLUCON-SPC;MONTLUCON;SPC-223-Montluçon;2004-08-01;2011-08-25;46.351667;2.598333;6201;21502;208;5
3186003;MONTMARAULT-SPC;MONTMARAULT;SPC-223-Montmarault;2004-08-01;;46.315000;2.953333;6475;21463;475;5
3190003;MOULINS-SPC;MOULINS;SPC-223-Moulins;2004-08-01;;46.561667;3.325667;6758;21740;214;5
3253002;SAINT-POURCAIN-SUR-BESBRE-SPC;SAINT-POURCAIN-SUR-BESBRE;SPC-223-St-Pourcain-sur-Besbre;2004-08-01;;46.476667;3.653333;7011;21649;249;5
3257002;SAINT-PRIX-SPC;SAINT-PRIX;SPC-223-SAINT-PRIX;2017-12-01;;46.229167;3.647167;7010;21374;292;5
3279001;TEILLET-ARGENTY-SPC;TEILLET-ARGENTY;SPC-222-Teillet-Argenty(Rochebut);2004-08-01;2011-08-25;46.241667;2.535833;6153;21380;365;5
4034004;LA BRILLANNE-SPC;LA BRILLANNE;SPC-222-La Brillane;2004-08-01;2013-12-10;43.934667;5.893667;8858;18879;350;5
4142001;OPPEDETTE-SPC;OPPEDETTE;SPC-222-Oppedette;2004-08-01;;43.918833;5.584500;8610;18851;505;5
4200001;SALIGNAC-SPC;SALIGNAC;SPC-223-Salignac;2012-03-01;;44.137167;5.977000;8914;19107;450;5
5093403;NEVACHE-BUFFERE;NEVACHE;Refuge Buffere;2005-01-01;2018-12-31;45.012833;6.570833;9337;20103;2060;5
5176001;L'ARCHIDIACRE-SPC;VALSERRES;SPC-223-L'Archidiacre;2012-03-01;;44.476167;6.111667;9004;19489;620;5
5181400;REFUGE ADELE PLANCHARD;VILLAR-D'ARENE;;2022-03-01;;44.980000;6.340167;9157;20057;3175;5
6163400;VAL CASTERINO_NEIGE;TENDE;;1989-12-14;;44.097500;7.505833;10140;19132;1554;5
7011006;ANTRAIGUES-SUR-VOLANE-SPC;VALLEES-D'ANTRAIGUES-ASPERJOC;SPC-223-Antraigues;2000-09-01;;44.725500;4.348500;7594;19714;468;5
7025002;BARNAS-SPC;BARNAS;SPC-223-Barnas;2000-08-31;;44.666167;4.160000;7446;19645;459;5
7030001;BEAUVENE-SPC;BEAUVENE;SPC-223-Beauvene;2016-03-01;;44.882500;4.525167;7729;19893;316;5
7031002;CHAULET-SPC;BERRIAS-ET-CASTELJAU;SPC-223-Chaulet;2016-03-01;;44.406667;4.216000;7498;19357;114;5
7032004;BERZEME-SPC;BERZEME;SPC-223-Berzeme;2000-08-31;;44.651000;4.568167;7771;19636;754;5
7037001;BOREE-SPC;BOREE;SPC-222-Boree;2000-08-31;;44.896167;4.238500;7502;19902;1149;5
7042002;BOURG-SAINT-ANDEOL-SPC;BOURG-SAINT-ANDEOL;SPC-222-Bourg St Andreol;2000-08-31;2011-02-28;44.371667;4.646667;7842;19328;70;5
7064004;LE CHEYLARD-SPC;LE CHEYLARD;SPC-223-Le Cheylard;2000-09-01;;44.912833;4.428000;7652;19924;446;5
7071001;COUCOURON-SPC;COUCOURON;SPC-223-COUCOURON;2017-12-01;;44.809167;3.968667;7291;19800;1283;5
7078001;DAVEZIEUX-SPC;DAVEZIEUX;SPC-222-Davezieux;2000-08-31;;45.252167;4.693000;7850;20307;432;5
7100002;GRAVIERES-SPC;GRAVIERES;SPC-223-Gravieres;2000-09-01;;44.425833;4.091167;7398;19376;207;5
7119002;LE-LAC-D'ISSARLES-SPC;LE LAC-D'ISSARLES;SPC-223-Lac d'Issarles;2004-08-01;;44.823333;4.066667;7368;19818;980;5
7129003;LAMASTRE-SPC;LAMASTRE;SPC-222-Lamastre;2000-09-01;;44.987167;4.578500;7768;20010;380;5
7130003;LANARCE-SPC;LANARCE;SPC-223-Lanarce;2004-08-01;;44.725333;4.007667;7324;19708;1177;5
7136003;LAVEYRUNE-SPC;LAVEYRUNE;Rogleton;2004-08-01;;44.613333;3.898667;7240;19582;983;5
7144002;LOUBARESSE-SPC;LOUBARESSE;SPC-223-Loubaresse;2000-09-01;;44.600000;4.049333;7360;19569;1198;5
7144400;LOUBARESSE_NEIGE;LOUBARESSE;Le Bourg;1946-03-01;;44.599833;4.049333;7360;19569;1220;5
7148001;MALBOSC-SPC;MALBOSC;SPC-222-Malbosc;2000-01-01;2013-12-10;44.319167;4.048333;7366;19257;482;5
7161006;MONTPEZAT-SOUS-BAUZON-SPC;MONTPEZAT-SOUS-BAUZON;SPC-223-Montpezat;2000-09-01;;44.711667;4.208833;7484;19696;589;5
7167001;LES OLLIERES-SUR-EYRIEUX-SPC;LES OLLIERES-SUR-EYRIEUX;SPC-223-Les Ollieres;2000-09-01;;44.811333;4.615667;7803;19816;200;5
7173002;PEREYRES-SPC;PEREYRES;SPC-223-Pereyres;2000-09-01;;44.775667;4.257667;7521;19768;851;5
7178001;PONT-DE-LABEAUME-SPC;PONT-DE-LABEAUME;SPC-223-Pont de Labeaume;2000-09-01;;44.666333;4.290833;7550;19648;320;5
7186006;PRIVAS-SPC;PRIVAS;SPC-223-Privas;2000-09-01;;44.737500;4.600167;7793;19733;292;5
7199001;ROSIERES-SPC;ROSIERES;SPC-223-Rosieres;2000-09-01;;44.481667;4.251333;7524;19442;163;5
7202003;SABLIERES-SPC;SABLIERES;SPC-223-Sablieres;2000-09-01;;44.533333;4.073333;7381;19496;490;5
7204007;SAINT-AGREVE-SPC;SAINT-AGREVE;SPC-222-St Agreve;2000-09-01;;45.012667;4.400833;7627;20035;1071;5
7230003;COL-DE-L ESCRINET-SPC;SAINT-ETIENNE-DE-BOULOGNE;SPC-223-Escrinet;2000-08-31;;44.715333;4.490500;7707;19706;720;5
7235005;SAINTE-EULALIE-SPC;SAINTE-EULALIE;SPC-223-Ste Eulalie;2004-08-01;;44.810667;4.188667;7465;19806;1238;5
7236004;SAINT-FELICIEN-SPC;SAINT-FELICIEN;SPC-223-St Felicien;2000-09-01;;45.083167;4.626000;7802;20118;540;5
7245001;SAINT-JEAN-DE-MUZOLS-SPC;SAINT-JEAN-DE-MUZOLS;SPC-222-St-Jean-de-Muzols;2000-09-01;;45.066833;4.781000;7925;20103;133;5
7268001;SAUZE-SPC;SAINT-MARTIN-D'ARDECHE;SPC-223-Sauze;2012-03-01;;44.313667;4.551667;7768;19261;100;5
7273002;SAINT-MAURICE-D'IBIE-SPC;SAINT-MAURICE-D'IBIE;SPC-222-St Maurice d'Ibie;2000-09-01;2023-11-23;44.498500;4.476167;7702;19465;240;5
7285003;SAINT-PIERRE-SUR-DOUX-SPC;SAINT-PIERRE-SUR-DOUX;SPC-223-St-Pierre-sur-Doux;2000-11-01;;45.121000;4.464333;7674;20156;943;5
7286005;SAINT-PIERREVILLE-SPC;SAINT-PIERREVILLE;SPC-223-St Pierreville;2000-09-01;;44.818333;4.488333;7702;19821;595;5
7315005;LA SOUCHE-SPC;LA SOUCHE;SPC-222-La Souche;2000-09-01;;44.629167;4.201667;7480;19605;541;5
7325001;UCEL-SPC;UCEL;SPC-223-Pont d'Ucel;2000-09-01;;44.626833;4.395500;7634;19606;219;5
7330005;VALLON-PONT-D'ARC-SPC;VALLON-PONT-D'ARC;SPC-223-Vallon-Pont-D'Arc;2000-09-01;;44.399333;4.384833;7632;19353;120;5
7338006;VERNOUX-EN-VIVARAIS-SPC;VERNOUX-EN-VIVARAIS;SPC-223-Vernoux-en-Vivarais;2000-09-01;;44.907500;4.650500;7827;19923;584;5
7348002;VOGUE-SPC;VOGUE;SPC-222-Vogue;2000-09-01;;44.542500;4.409833;7648;19512;167;5
7349001;LA VOULTE-SUR-RHONE-SPC;LA VOULTE-SUR-RHONE;SPC-223-La Voulte;2002-07-01;;44.795833;4.779167;7933;19802;102;5
8105007;CHARLEVILLE-MEZIERES-SPC;CHARLEVILLE-MEZIERES;SPC-222-Charleville-Mézières;2004-08-01;;49.760000;4.716667;7716;25318;152;5
8122002;CHOOZ-SPC;CHOOZ;SPC-223-Chooz;2004-08-01;;50.092500;4.806333;7769;25691;105;5
8247001;LANDRICHAMPS-SPC;LANDRICHAMPS;SPC-222-Landrichamps;2004-08-01;;50.084333;4.826500;7784;25682;141;5
8302004;MONTHERME-SPC;MONTHERME;SPC-222-Montherme;2004-08-01;;49.880167;4.731000;7723;25453;143;5
8409003;SEDAN-SPC;SEDAN;SPC-223-Sedan;2004-08-01;;49.700000;4.935000;7876;25257;155;5
9030010;BASSIES;AUZAT;Refuge;1992-06-01;;42.765500;1.413333;5242;17518;1655;5
9030015;LE FOURCAT;AUZAT;;2006-07-01;;42.665000;1.489333;5303;17405;2445;5
9032006;AX-LES-THERMES-SPC;AX-LES-THERMES;SPC-222-Ax-les-thermes;2004-08-01;;42.722167;1.834667;5587;17467;720;5
9042004;LA BASTIDE-DE-SEROU-SPC;LA BASTIDE-DE-SEROU;SPC-222-La-Bastide-de-Sérou;2004-08-01;;43.010333;1.427833;5257;17790;408;5
9047003;BELESTA-SPC;BELESTA;SPC-222Belesta;2004-08-01;;42.905167;1.936833;5672;17670;500;5
9062002;ESTAGNOUS;BORDES-UCHENTEIN;Refuge;1998-06-01;;42.797333;1.072667;4963;17557;2240;5
9111001;ENGOMER-SPC;ENGOMER;SPC-222-Engomer;2005-01-01;;42.948833;1.055833;4952;17726;455;5
9124002;LE FOSSAT-SPC;LE FOSSAT;SPC-222-Le Fossat;2004-08-01;2021-11-16;43.175000;1.409000;5244;17974;241;5
9160001;LAVELANET-SPC;LAVELANET;SPC-222-Lavelanet;2005-01-01;;42.940833;1.851000;5602;17710;522;5
9167001;LEZAT-SPC;LEZAT-SUR-LEZE;SPC-222-Lézat-sur-Léze;2011-01-01;;43.280333;1.353000;5200;18092;210;5
9181004;LE MAS-D'AZIL-SPC;LE MAS-D'AZIL;SPC-222-Le Mas D'Azil;2004-08-01;;43.083000;1.361000;5204;17872;290;5
9181005;MAS-D'AZIL-COLLEGE-SPC;LE MAS-D'AZIL;SPC-222-Mas-d'Azil;2010-01-01;2019-03-26;43.079667;1.366167;5208;17868;286;5
9182002;MASSAT-SPC;MASSAT;SPC-222-Massat;2004-08-01;;42.892667;1.348667;5191;17660;650;5
9185003;MAZERES-SPC;MAZERES;SPC-222-Mazères;2004-08-01;;43.253500;1.680500;5466;18059;240;5
9194002;MIREPOIX-SPC;MIREPOIX;SPC-222-Mirepoix;2004-08-01;;43.093167;1.876667;5624;17879;302;5
9220003;EN BEYS;ORLU;Refuge;1999-06-01;;42.626500;1.944167;5677;17360;1970;5
9224001;PAILHES-SPC;PAILHES;SPC-222-Pailhes;2008-01-01;;43.102167;1.443000;5271;17892;287;5
9261002;SAINT-GIRONS-SPC;SAINT-GIRONS;SPC-222-St-Girons;2004-08-01;;42.990833;1.141667;5023;17772;392;5
9282002;SAVERDUN-SPC;SAVERDUN;SPC-222-Saverdun;2004-08-01;;43.231667;1.577333;5382;18035;234;5
9299002;SOUEIX-ROGALLE-SPC;SOUEIX-ROGALLE;SPC-222-Soueix-Rogalle;2004-08-01;;42.888167;1.212167;5079;17657;486;5
9334006;VICDESSOS-SPC;VAL-DE-SOS;SPC-222-Vicdessos;2005-01-01;;42.768167;1.500167;5313;17520;1062;5
11038003;BESSEDE-DE-SAULT-SPC;BESSEDE-DE-SAULT;SPC-222-Gesse;2004-08-01;;42.776667;2.153333;5849;17526;542;5
11041002;BIZE-MINERVOIS-SPC;BIZE-MINERVOIS;SPC-222-Bize-Minervois;2004-08-01;2022-02-10;43.317500;2.870833;6434;18129;60;5
11044003;BOUISSE-SPC;BOUISSE;SPC-222-Bouisse;2004-08-01;;42.986000;2.452167;6094;17759;640;5
11069005;CARCASSONNE-SPC;CARCASSONNE;SPC-222-Carcassonne DDE (atelier);2004-08-01;;43.238500;2.372333;6029;18040;103;5
11073001;CASSAIGNES-SPC;CASSAIGNES;SPC-222-Cassaignes;2004-08-01;;42.940833;2.307500;5976;17709;252;5
11075002;CASTANS-SPC;CASTANS;SPC-222-Castans;2004-08-01;;43.406667;2.486667;6121;18227;650;5
11103003;COUIZA-SPC;COUIZA;SPC-222-Couiza Pont Vieux;2004-08-01;2012-12-08;42.943333;2.253333;5931;17712;220;5
11110002;COUSTOUGE-SPC;COUSTOUGE;SPC-222-Coustouge;2004-08-01;;43.056333;2.743500;6332;17838;260;5
11116001;CUXAC-SPC;CUXAC-D'AUDE;SPC-223-Cuxac;2008-01-01;2023-09-05;43.240000;2.999167;6539;18044;48;5
11170001;GRUISSAN-INRAE;GRUISSAN;PECH ROUGE;1964-01-01;;43.143167;3.135500;6651;17937;1;5
11185004;LAGRASSE-SPC;LAGRASSE;SPC-222-Lagrasse Subdi;2004-08-01;;43.091500;2.621667;6232;17877;130;5
11194001;LASTOURS-SPC;LASTOURS;SPC-222-Lastours;2004-08-01;2019-07-10;43.332500;2.381167;6036;18145;163;5
11194002;LASTOURS-BELVEDERE-SPC;LASTOURS;;2019-07-11;;43.333333;2.372333;6029;18146;314;5
11206004;LIMOUX-SPC;LIMOUX;SPC-223-Pont de Fer;2004-08-01;2023-03-24;43.056333;2.216667;5902;17837;168;5
11210001;LUC-SUR-ORBIEU-SPC;LUC-SUR-ORBIEU;SPC-222-Luc sur Orbieu;2004-08-01;;43.181833;2.780667;6361;17978;29;5
11220002;MARSEILLETTE-SPC;MARSEILLETTE;SPC-222-Marseillette;2007-08-01;;43.200000;2.540000;6165;17997;90;5
11224001;MASSAC-SPC;MASSAC;SPC-222-Massac;2004-08-01;;42.919333;2.572500;6193;17685;435;5
11233001;MIREPEISSET-SPC;MIREPEISSET;SPC-222-Mirepeisset;2007-08-01;;43.283667;2.900000;6458;18092;39;5
11243002;NAUROUZE-SPC;MONTFERRAND;SPC-223-Naurouze;2004-08-01;;43.353667;1.820333;5580;18170;256;5
11258002;MOUSSAN-SPC;MOUSSAN;SPC-222-Moussan Ecluse;2004-08-01;;43.244833;2.960500;6507;18049;45;5
11270001;PADERN-SPC;PADERN;SPC-222-Padern;2004-08-01;;42.864667;2.677167;6278;17625;148;5
11296002;POUZOLS-MINERVOIS-SPC;POUZOLS-MINERVOIS;SPC-222-Pouzols-Minervois;2004-08-01;;43.290667;2.824167;6396;18099;80;5
11301002;PUICHERIC-SPC;PUICHERIC;SPC-222-Puichéric;2004-08-01;;43.221833;2.626500;6235;18022;63;5
11302004;PUILAURENS-SPC;PUILAURENS;SPC-222-Lapradelle;2004-08-01;;42.813333;2.323333;5989;17567;400;5
11304002;QUILLAN-SPC;QUILLAN;SPC-222-Quillan;2004-08-01;;42.877833;2.185000;5875;17639;282;5
11332002;SAINT-ANDRE-DE-ROQUELONGUE-SPC;SAINT-ANDRE-DE-ROQUELONGUE;SPC-222-St André de Roquelongue;2004-08-01;;43.111667;2.835000;6406;17900;80;5
11344002;SAINT-HILAIRE-SPC;SAINT-HILAIRE;SPC-222-Saint Hilaire;2004-08-01;2018-11-01;43.109833;2.315333;5982;17897;170;5
11367002;SAISSAC-SPC;SAISSAC;SPC-222-Saissac le Lampy;2004-08-01;;43.393333;2.165000;5860;18213;630;5
11381003;SOUGRAIGNE-SPC;SOUGRAIGNE;SPC-222-Sougraigne;2004-08-01;;42.902500;2.356833;6016;17666;400;5
11397002;TREBES-SPC;TREBES;SPC-222-Trèbes;2004-08-01;;43.209500;2.440500;6084;18008;89;5
11401005;TUCHAN-SPC;TUCHAN;SPC-222-Tuchan;2004-08-01;;42.928333;2.711667;6306;17696;160;5
11405001;VENTENAC-EN-MINERVOIS-SPC;VENTENAC-EN-MINERVOIS;SPC-223-Ventenac en Minervois;2004-08-01;;43.240000;2.855833;6422;18043;48;5
11427002;VILLELONGUE-D'AUDE-SPC;VILLELONGUE-D'AUDE;SPC-222-Villelongue Aude;2004-08-01;;43.056667;2.091667;5800;17838;320;5
