NUM_POSTE;NOM_USUEL;COMMUNE;LIEU_DIT;DATOUVR;DATFERM;LAT;LON;LAMBX;LAMBY;ALTI;TYPE_POSTE_ACTUEL
1004003;AMBERIEU;AMBERIEU-EN-BUGEY;AGGLOMERATION;1875-01-01;1886-12-31;45.955000;5.348333;8334;21106;249;4
1010001;ANGLEFORT;ANGLEFORT;ECOLE;1950-01-01;1985-07-31;45.900000;5.766667;8661;21058;280;4
1014001;ARBENT;ARBENT;AERODROME D'OYONNAX;1969-11-01;1988-12-31;46.266667;5.650000;8553;21461;535;4
1014002;ARBENT;ARBENT;AUX CARROS;2003-10-01;;46.278167;5.669000;8567;21474;534;1
1022001;ARTEMARE;ARTEMARE;YON;1873-01-01;1880-12-31;45.873333;5.693333;8605;21026;245;4
1025001;BAGE;BAGE-DOMMARTIN;139 ROUTE DE CHAMPVENT;1992-01-01;2020-12-31;46.325167;4.953167;8014;21506;200;4
1027001;BALAN;BALAN;USINE ATOCHEM;1968-03-01;1991-05-31;45.833333;5.083333;8133;20963;197;4
1027002;BALAN;BALAN;LE PLATERON;2001-11-01;2020-12-31;45.832833;5.086000;8135;20962;184;4
1027003;BALAN_AERO;BALAN;Le Stade;2014-05-26;;45.833000;5.106667;8151;20963;196;2
1028001;BANEINS;BANEINS;LE CHATEAU;1978-09-01;2020-12-31;46.122000;4.904500;7984;21279;243;4
1029001;BEAUPONT;BEAUPONT;BOURG;1975-01-01;1993-12-31;46.411667;5.263333;8249;21610;210;4
1033001;BELLEGARDE MAN;VALSERHONE;LA MALADIERE;1979-01-01;2006-12-31;46.103333;5.846667;8713;21286;500;4
1033002;BELLEGARDE;VALSERHONE;ARLOD;1994-04-01;2023-12-10;46.086500;5.814167;8688;21266;350;2
1034001;BELLEY MAN;BELLEY;RUE ST-JEAN;1873-06-01;2008-10-31;45.755000;5.686667;8605;20894;277;4
1034002;BELLEY;BELLEY;BORDONNAT;1925-10-01;1943-12-31;45.758333;5.688333;8607;20898;287;4
1034004;BELLEY;BELLEY;SAINT-SEBASTIEN;2001-09-13;;45.769333;5.688000;8606;20910;330;1
1037001;BENONCES;BENONCES;CHARTREUSE DE PORTES;1976-01-01;2020-12-31;45.862333;5.484167;8443;21007;944;4
1043001;BEYNOST;BEYNOST;;1996-08-01;2018-03-31;45.837333;4.990667;8061;20965;220;4
1053001;BOURG EN BRESSE;BOURG-EN-BRESSE;EQUIPEMENT;1845-01-01;1992-12-31;46.206667;5.221667;8226;21381;240;4
1053003;BOURG EN BRESSE;BOURG-EN-BRESSE;LES SARDIERES;1979-09-01;1995-01-31;46.215000;5.258333;8253;21392;250;4
1053004;BOURG-EN-BRESSE SERV.  HYDRO;BOURG-EN-BRESSE;SERV.  HYDRO;1887-01-01;1916-12-31;46.205000;5.226667;8229;21380;246;4
1059001;BRENAZ;ARVIERE-EN-VALROMEY;BOURG;1992-11-01;1998-12-31;45.948333;5.721667;8623;21110;695;4
1060001;BRENOD;BRENOD;BOURG;1899-01-01;1913-12-31;46.060000;5.605000;8528;21230;831;4
