Commune,Température moyenne mensuelle,Température maximale,Température minimale,Date,Saison,Année,Température moyenne annuelle,Centile_25%,Centile_50% (Médiane),Centile_75%
ANGLARS-JUILLAC,17.7,25.6,10.1,1989-05-01,Printemps,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,20.7,28.7,13.6,1989-08-01,Été,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,17.4,25.4,10.7,1989-09-01,Automne,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,13.8,21.5,7.8,1989-10-01,Automne,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,9.7,15.7,5.6,1989-11-01,Automne,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,8.7,14.7,4.1,1989-12-01,Hiver,1989,14.666666666666666,10.725,15.6,17.625
ANGLARS-JUILLAC,5.0,11.1,1.0,1990-01-01,Hiver,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,10.1,15.8,5.9,1990-02-01,Hiver,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,9.5,17.8,2.9,1990-03-01,Printemps,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,17.5,24.1,10.8,1990-05-01,Printemps,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,20.0,29.8,14.5,1990-07-01,Été,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,12.5,20.7,10.4,1990-10-01,Automne,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,9.0,12.4,6.6,1990-11-01,Automne,1990,11.942857142857141,9.25,10.1,15.0
ANGLARS-JUILLAC,10.9,16.7,6.4,1991-03-01,Printemps,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,13.7,19.7,7.5,1991-05-01,Printemps,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,21.6,27.9,15.2,1991-07-01,Été,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,22.4,30.9,15.0,1991-08-01,Été,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,11.1,16.7,7.0,1991-10-01,Automne,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,8.2,12.4,4.9,1991-11-01,Automne,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,4.3,10.8,-0.3,1991-12-01,Hiver,1991,13.171428571428573,9.55,11.1,17.65
ANGLARS-JUILLAC,2.5,7.4,-1.1,1992-01-01,Hiver,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,8.6,14.4,3.9,1992-03-01,Printemps,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,12.4,17.2,5.5,1992-04-01,Printemps,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,16.9,23.8,10.2,1992-05-01,Printemps,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,16.3,22.0,12.5,1992-06-01,Été,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,11.1,14.6,8.9,1992-10-01,Automne,1992,11.299999999999999,9.225,11.75,15.325000000000001
ANGLARS-JUILLAC,18.8,25.2,13.2,1993-06-01,Été,1993,14.733333333333334,12.55,18.8,18.950000000000003
ANGLARS-JUILLAC,19.1,25.3,13.4,1993-07-01,Été,1993,14.733333333333334,12.55,18.8,18.950000000000003
ANGLARS-JUILLAC,6.3,12.0,2.6,1993-11-01,Automne,1993,14.733333333333334,12.55,18.8,18.950000000000003
ANGLARS-JUILLAC,18.7,25.0,12.2,1994-06-01,Été,1994,20.7,19.7,20.7,21.7
ANGLARS-JUILLAC,22.7,29.3,16.4,1994-07-01,Été,1994,20.7,19.7,20.7,21.7
ANGLARS-JUILLAC,8.9,13.4,5.1,1996-01-01,Hiver,1996,12.1,8.25,11.75,15.6
ANGLARS-JUILLAC,18.6,24.8,13.6,1996-08-01,Été,1996,12.1,8.25,11.75,15.6
ANGLARS-JUILLAC,14.6,22.0,8.5,1996-09-01,Automne,1996,12.1,8.25,11.75,15.6
ANGLARS-JUILLAC,6.3,10.4,3.0,1996-12-01,Hiver,1996,12.1,8.25,11.75,15.6
ANGLARS-JUILLAC,5.4,10.3,1.8,1997-01-01,Hiver,1997,5.4,5.4,5.4,5.4
ANGLARS-JUILLAC,18.7,25.0,12.2,1998-06-01,Été,1998,14.533333333333333,11.5,18.7,19.65
ANGLARS-JUILLAC,20.6,27.3,14.4,1998-07-01,Été,1998,14.533333333333333,11.5,18.7,19.65
ANGLARS-JUILLAC,4.3,9.7,0.8,1998-12-01,Hiver,1998,14.533333333333333,11.5,18.7,19.65
ANGLARS-JUILLAC,5.8,10.9,2.2,1999-01-01,Hiver,1999,15.319999999999999,13.0,18.0,18.7
ANGLARS-JUILLAC,18.0,24.6,11.5,1999-06-01,Été,1999,15.319999999999999,13.0,18.0,18.7
ANGLARS-JUILLAC,21.1,28.2,14.9,1999-07-01,Été,1999,15.319999999999999,13.0,18.0,18.7
ANGLARS-JUILLAC,18.7,25.6,13.2,1999-09-01,Automne,1999,15.319999999999999,13.0,18.0,18.7
ANGLARS-JUILLAC,13.0,19.6,8.3,1999-10-01,Automne,1999,15.319999999999999,13.0,18.0,18.7
