Nom Commune,Année_y,DPE_A,DPE_B,DPE_C,DPE_D,DPE_E,DPE_F,température maximale_automne,température maximale_hiver,température maximale_printemps,température maximale_été,température minimale_automne,température minimale_hiver,température minimale_printemps,température minimale_été,centile_25,centile_50,centile_75
aix-en-provence,2018,0.0,0.0,0.0,1.0,0.0,0.0,21.7,13.6,21.7,31.7,11.8,2.6,9.6,18.4,9.575,15.8,21.475
aix-en-provence,2019,0.0,0.0,0.0,1.0,0.0,0.0,22.5,14.4,18.6,32.6,12.3,1.6,7.6,18.1,9.35,14.3,21.375
aix-en-provence,2020,0.0,0.0,0.0,1.0,0.0,0.0,19.6,13.6,20.5,32.1,8.4,3.8,7.8,17.5,10.25,13.9,20.375
aix-en-provence,2021,0.0,0.0,0.0,1.0,0.0,0.0,21.4,12.7,17.9,31.1,9.4,1.8,6.1,17.0,9.75,13.25,21.85
aix-en-provence,2022,0.0,0.0,0.0,1.0,0.0,0.0,25.6,13.9,19.5,33.4,13.2,3.4,6.9,18.9,10.0,15.9,21.65
aix-en-provence,2023,0.0,0.0,0.0,1.0,0.0,0.0,24.9,14.1,20.6,32.3,12.6,1.5,7.2,17.8,9.1,15.65,22.2
amboise,2018,0.0,0.0,1.0,0.0,0.0,0.0,19.5,9.2,18.8,28.1,8.6,4.5,8.7,14.8,7.725,13.3,17.95
amboise,2019,0.0,0.0,1.0,0.0,0.0,0.0,17.4,10.7,17.1,28.0,10.8,3.0,5.7,14.2,7.85,12.15,17.700000000000003
amboise,2020,0.0,0.0,1.0,0.0,0.0,0.0,15.8,9.65,20.6,27.4,9.1,4.25,8.6,13.8,8.75,11.9,16.75
amboise,2021,0.0,0.0,1.0,0.0,0.0,0.0,21.05,9.3,16.45,24.5,10.399999999999999,4.1,3.8,14.25,7.3,12.1,18.5
amboise,2022,0.0,0.0,1.0,0.0,0.0,0.0,21.0,7.8,17.1,29.7,11.5,3.3,6.2,14.8,9.1,13.75,17.825
amboise,2023,0.0,0.0,1.0,0.0,0.0,0.0,20.6,10.2,15.9,26.4,10.5,4.1,6.2,14.9,8.825,12.8,19.975
angers,2018,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,19.4,10.7,18.8,28.1,9.7,6.1,9.4,15.8,8.625,13.85,18.925
angers,2019,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,18.3,11.1,17.7,27.1,11.6,3.6,6.9,15.3,8.375,13.1,18.25
angers,2020,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,16.6,11.0,21.1,27.1,9.9,5.2,9.6,14.6,9.6,13.8,18.05
angers,2021,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,18.9,10.3,17.3,25.1,8.9,5.0,5.2,14.4,7.800000000000001,12.2,18.95
angers,2022,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,21.7,9.0,18.1,30.2,12.8,3.9,7.4,16.2,10.1,14.5,18.25
angers,2023,0.0,0.0,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.0,21.2,11.3,16.9,26.3,11.4,4.9,7.5,16.0,9.75,13.65,20.475
annecy,2018,0.0,0.0,0.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,18.950000000000003,7.85,20.35,28.65,6.8,1.55,6.699999999999999,15.100000000000001,4.875,12.55,18.375
annecy,2019,0.0,0.0,0.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,18.049999999999997,8.8,16.55,27.65,8.8,-1.7,4.05,14.3,5.425,11.2,17.700000000000003
annecy,2020,0.0,0.0,0.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,15.0,8.55,20.799999999999997,28.4,6.4,0.8500000000000001,5.4,14.75,6.225,11.45,17.275
annecy,2021,0.0,0.0,0.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,17.3,5.55,15.55,25.85,5.4,-0.30000000000000004,3.15,14.2,5.625,9.95,17.65
annecy,2022,0.0,0.0,0.0,0.5217391304347826,0.2608695652173913,0.21739130434782608,21.25,7.65,16.75,30.35,10.149999999999999,0.2,4.699999999999999,15.25,6.7250000000000005,12.65,18.675
